# This is a CSV file containing the TPL, TPU, UF and Compression for the Union-Find data structure.
# The data was generated for n = 1000 and delta = 5 .
N,TPL,TPU,UF,Compression
4385,139201,0,QU,NC
4390,139201,0,QU,NC
4395,139201,0,QU,NC
4400,139201,0,QU,NC
4405,139201,0,QU,NC
4410,139201,0,QU,NC
4415,139201,0,QU,NC
4420,139201,0,QU,NC
4425,139201,0,QU,NC
4430,139201,0,QU,NC
4435,139201,0,QU,NC
4440,139201,0,QU,NC
4445,139201,0,QU,NC
4450,139201,0,QU,NC
4455,139201,0,QU,NC
4460,139201,0,QU,NC
4465,139201,0,QU,NC
4470,139201,0,QU,NC
4475,139201,0,QU,NC
4480,139201,0,QU,NC
4485,139201,0,QU,NC
4490,139201,0,QU,NC
4495,139201,0,QU,NC
4500,139201,0,QU,NC
4505,139201,0,QU,NC
4510,139201,0,QU,NC
4515,139201,0,QU,NC
4520,139201,0,QU,NC
4525,139201,0,QU,NC
4530,139201,0,QU,NC
4535,139201,0,QU,NC
4540,139201,0,QU,NC
4545,139201,0,QU,NC
4550,139201,0,QU,NC
4555,139201,0,QU,NC
4560,139201,0,QU,NC
4565,139201,0,QU,NC
4570,139201,0,QU,NC
4575,139201,0,QU,NC
4580,139201,0,QU,NC
4585,139201,0,QU,NC
4590,139201,0,QU,NC
4595,139201,0,QU,NC
4600,139201,0,QU,NC
4605,139201,0,QU,NC
4610,139201,0,QU,NC
4615,139201,0,QU,NC
4620,139201,0,QU,NC
4625,139201,0,QU,NC
4630,139201,0,QU,NC
4635,139201,0,QU,NC
4640,139201,0,QU,NC
4645,139201,0,QU,NC
4650,139201,0,QU,NC
4655,139201,0,QU,NC
4660,139201,0,QU,NC
4665,139201,0,QU,NC
5,5,0,QU,NC
10,10,0,QU,NC
15,15,0,QU,NC
20,21,0,QU,NC
25,26,0,QU,NC
30,32,0,QU,NC
35,37,0,QU,NC
40,42,0,QU,NC
45,48,0,QU,NC
50,53,0,QU,NC
55,58,0,QU,NC
60,63,0,QU,NC
65,68,0,QU,NC
70,74,0,QU,NC
75,79,0,QU,NC
80,84,0,QU,NC
85,89,0,QU,NC
90,94,0,QU,NC
95,99,0,QU,NC
100,107,0,QU,NC
105,117,0,QU,NC
110,122,0,QU,NC
115,127,0,QU,NC
120,134,0,QU,NC
125,139,0,QU,NC
130,145,0,QU,NC
135,151,0,QU,NC
140,158,0,QU,NC
145,163,0,QU,NC
150,173,0,QU,NC
155,180,0,QU,NC
160,187,0,QU,NC
165,193,0,QU,NC
170,202,0,QU,NC
